ERROR:root:Serial port exception: device reports readiness to read but returned no data (device disconnected or multiple access on port?)
ERROR:root:Serial port exception: device reports readiness to read but returned no data (device disconnected or multiple access on port?)
ERROR:root:Serial port exception: device reports readiness to read but returned no data (device disconnected or multiple access on port?)
ERROR:root:Serial port exception: device reports readiness to read but returned no data (device disconnected or multiple access on port?)
ERROR:root:Serial port exception: device reports readiness to read but returned no data (device disconnected or multiple access on port?)
ERROR:root:Serial port exception: name 'baud' is not defined
ERROR:root:Serial port exception: 'utf-8' codec can't decode byte 0xb2 in position 3: invalid start byte
ERROR:root:Serial port exception: name 'raw_data' is not defined
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
ERROR:root:Serial port exception: write failed: [Errno 5] Input/output error
